orderId,customerId,amount,t
O1,C1,180.0,0
O2,C2,75.0,10
O3,C3,508.0,20
O4,C4,493.0,30
O5,C5,549.0,40
O6,C6,246.0,50
O7,C7,147.0,60
O8,C8,482.0,70
O9,C9,305.0,80
O10,C10,358.0,90
O11,C11,528.0,100
O12,C12,343.0,110
O13,C13,498.0,120
O14,C14,543.0,130
O15,C15,280.0,140
O16,C16,149.0,150
O17,C17,275.0,160
O18,C18,402.0,170
O19,C19,143.0,180
O20,C20,291.0,190
O21,C21,268.0,200
O22,C22,105.0,210
O23,C23,258.0,220
O24,C24,336.0,230
O25,C25,157.0,240
O26,C26,530.0,250
O27,C27,374.0,260
O28,C28,138.0,270
O29,C29,263.0,280
O30,C30,441.0,290
O31,C31,439.0,300
O32,C32,122.0,310
O33,C33,423.0,320
O34,C34,344.0,330
O35,C35,422.0,340
O36,C36,205.0,350
O37,C37,378.0,360
O38,C38,99.0,370
O39,C39,318.0,380
O40,C40,366.0,390
O41,C41,305.0,400
O42,C42,332.0,410
O43,C43,164.0,420
O44,C44,259.0,430
O45,C45,441.0,440
O46,C46,334.0,450
O47,C47,442.0,460
O48,C48,312.0,470
O49,C49,69.0,480
O50,C50,519.0,490
