shipmentId,orderId,carrier,t
S1,O2,FedEx,106
S2,O2,UPS,148
S3,O3,UPS,26
S4,O3,UPS,62
S5,O4,DHL,84
S6,O5,FedEx,185
S7,O5,DHL,265
S8,O6,UPS,53
S9,O7,UPS,73
S10,O8,FedEx,140
S11,O9,DHL,133
S12,O10,FedEx,135
S13,O14,FedEx,141
S14,O15,FedEx,146
S15,O16,FedEx,160
S16,O17,UPS,255
S17,O18,DHL,175
S18,O18,FedEx,178
S19,O19,UPS,270
S20,O20,DHL,213
S21,O21,UPS,296
S22,O21,FedEx,345
S23,O22,DHL,212
S24,O23,UPS,332
S25,O24,FedEx,326
S26,O25,DHL,325
S27,O26,UPS,254
S28,O27,UPS,288
S29,O28,DHL,319
S30,O29,UPS,395
S31,O31,FedEx,416
S32,O32,FedEx,364
S33,O33,UPS,348
S34,O33,FedEx,427
S35,O35,UPS,401
S36,O36,UPS,414
S37,O37,UPS,449
S38,O37,FedEx,509
S39,O38,UPS,390
S40,O39,UPS,448
S41,O40,UPS,492
S42,O41,DHL,567
S43,O42,DHL,446
S44,O43,UPS,482
S45,O44,FedEx,483
S46,O45,UPS,460
S47,O46,UPS,476
S48,O47,UPS,495
S49,O48,UPS,505
S50,O49,DHL,571
S51,O50,FedEx,518
S52,O50,UPS,520
